date,weighted price [PLN/MWh]
8/1/2018,241.5858569
9/1/2018,285.6028992
10/1/2018,276.078996
11/1/2018,286.4790134
12/1/2018,279.9278664
1/1/2019,274.5146175
2/1/2019,262.133598
3/1/2019,257.1301328
4/1/2019,266.153182
5/1/2019,271.4168132
6/1/2019,271.3197449
7/1/2019,279.7054629
8/1/2019,277.7716284
9/1/2019,271.9443317
10/1/2019,262.3567467
11/1/2019,254.408876
12/1/2019,239.8165122
1/1/2020,252.1491245
2/1/2020,245.0755324
3/1/2020,227.587204
4/1/2020,225.6322099
5/1/2020,221.4401533
6/1/2020,232.3320778
7/1/2020,238.9127619
8/1/2020,229.497497
