date,weighted price [PLN/MWh]
8/1/2018,107.2278115
9/1/2018,119.9885752
10/1/2018,119.0010453
11/1/2018,111.2579848
12/1/2018,109.0578149
1/1/2019,99.19583333
2/1/2019,98.03109756
3/1/2019,91.6218834
4/1/2019,98.80683266
5/1/2019,94.86315241
6/1/2019,89.48104267
7/1/2019,91.63810961
8/1/2019,90.39619882
9/1/2019,91.5665146
10/1/2019,89.08454562
11/1/2019,83.69251746
12/1/2019,75.70698228
1/1/2020,78.4311282
2/1/2020,73.49095084
3/1/2020,68.9166227
4/1/2020,68.31368904
5/1/2020,65.43945777
6/1/2020,64.8511997
7/1/2020,68.54656628
8/1/2020,69.30980046
