data,koszt w?gla,koszt uprawnie?,CDS
1/1/2016,91.85142857,27.45397478,43.5404577
2/1/2016,90.41142857,22.00105444,40.64111101
3/1/2016,90,20.19869461,43.38422357
4/1/2016,91.33714286,23.54204782,41.71331239
5/1/2016,91.54285714,25.04677818,42.55497288
6/1/2016,90.61714286,23.78350905,47.45723147
7/1/2016,91.13142857,19.59821167,49.78966825
8/1/2016,87.63428571,19.36501426,50.65156473
9/1/2016,91.64571429,17.86152514,47.36782348
10/1/2016,88.14857143,23.60098687,47.22569767
11/1/2016,88.97142857,23.82069245,46.93375054
12/1/2016,88.56,19.16839819,50.9329561
1/1/2017,91.74857143,21.84848298,46.82810901
2/1/2017,91.85142857,21.94121561,45.33015816
3/1/2017,91.33714286,21.6427928,46.22315345
4/1/2017,90.92571429,20.32113226,50.17769258
5/1/2017,94.73142857,19.59147565,48.55988014
6/1/2017,95.65714286,21.23565307,46.37310641
7/1/2017,95.96571429,22.4096145,45.49355911
8/1/2017,94.83428571,24.10361181,44.13842775
9/1/2017,96.58285714,28.76974411,40.578968
10/1/2017,97.2,31.06231986,43.39013592
11/1/2017,98.43428571,32.29892032,42.43093293
12/1/2017,99.15428571,31.24194901,46.09966801
1/1/2018,107.0742857,35.87762431,36.37438067
2/1/2018,107.7942857,40.14226498,29.86271843
3/1/2018,108.72,48.57449356,32.48578942
4/1/2018,110.9828571,56.50479324,31.76856682
5/1/2018,110.3657143,63.42589283,36.99316506
6/1/2018,112.1142857,64.6733159,29.94057257
7/1/2018,113.9657143,69.39960857,34.49809155
8/1/2018,117.5657143,80.29430929,43.72583334
9/1/2018,116.0228571,92.21892886,77.36111318
10/1/2018,116.0228571,83.89216051,76.16397836
11/1/2018,116.5371429,79.84896259,90.09290791
12/1/2018,114.1714286,88.49606191,77.26037589
1/1/2019,121.9885714,98.17333863,54.35270743
2/1/2019,122.2971429,88.92834305,50.90811208
3/1/2019,122.5028571,93.31465344,41.31262225
4/1/2019,124.56,109.5642689,32.02891315
5/1/2019,121.68,108.9418273,40.79498597
6/1/2019,123.0171429,106.7330911,41.56951098
7/1/2019,122.5028571,119.0053104,38.19729536
8/1/2019,122.5028571,115.8408609,39.42791035
9/1/2019,124.4571429,110.0944037,37.39278512
10/1/2019,125.1771429,104.3011165,32.87848738
11/1/2019,124.9714286,104.8957388,24.54170861
12/1/2019,124.7657143,105.0470041,10.00379377
1/1/2020,123.9428571,104.0947488,24.11151856
2/1/2020,122.9142857,102.0486385,20.11260821
3/1/2020,124.0457143,84.36786425,19.17362549
4/1/2020,122.4,85.7418503,17.49035964
5/1/2020,124.56,83.82184874,13.05830452
6/1/2020,124.3542857,99.10884835,8.868943744
7/1/2020,124.3542857,116.723696,-2.165219805
8/1/2020,,,
9/1/2020,,,
10/1/2020,,,
11/1/2020,,,
12/1/2020,,,
1/1/2021,,,
2/1/2021,,,
3/1/2021,,,
4/1/2021,,,
5/1/2021,,,
6/1/2021,,,
7/1/2021,,,
8/1/2021,,,
9/1/2021,,,
10/1/2021,,,
11/1/2021,,,
12/1/2021,,,
1/1/2022,,,
2/1/2022,,,
3/1/2022,,,
4/1/2022,,,
5/1/2022,,,
6/1/2022,,,
7/1/2022,,,
8/1/2022,,,
9/1/2022,,,
10/1/2022,,,
11/1/2022,,,
12/1/2022,,,
1/1/2023,,,
2/1/2023,,,
3/1/2023,,,
4/1/2023,,,
5/1/2023,,,
6/1/2023,,,
7/1/2023,,,
8/1/2023,,,
9/1/2023,,,
10/1/2023,,,
11/1/2023,124.3542857,#VALUE!,#VALUE!
