data,koszt w?gla,koszt uprawnie?,CDS
1/1/2016,129.0292719,10.35121934,23.46536979
2/1/2016,125.0387151,8.295255682,19.71962324
3/1/2016,121.0511511,7.615695726,24.91607139
4/1/2016,128.028318,8.876270295,19.68791481
5/1/2016,133.0013488,9.443612334,16.69964709
6/1/2016,144.0160761,8.967310597,8.874496711
7/1/2016,142.8559764,7.389290236,10.27404185
8/1/2016,133.8106641,7.301365716,16.53883493
9/1/2016,130.6552759,6.734491674,19.48529536
10/1/2016,143.0827126,8.898492614,6.99405076
11/1/2016,151.1992572,8.981330189,-0.454715844
12/1/2016,153.5955688,7.227233786,-2.161448318
1/1/2017,163.4468151,8.237730292,-11.25938197
2/1/2017,161.2206428,8.27269411,-10.37053458
3/1/2017,146.8446676,8.160177069,4.198244429
4/1/2017,146.3814765,7.661859497,7.38120312
5/1/2017,142.0356276,7.386750494,13.46040627
6/1/2017,141.2311918,8.006669511,14.02804099
7/1/2017,142.9838635,8.449298761,12.43572559
8/1/2017,147.6151268,9.088001821,6.373196636
9/1/2017,154.9700266,10.84731571,0.114226942
10/1/2017,159.8617658,11.71170619,0.07898378
11/1/2017,167.2146925,12.17795279,-6.228506338
12/1/2017,169.1012344,11.77943338,-4.384765076
1/1/2018,155.1228264,13.52726378,10.67620055
2/1/2018,147.6644965,15.13519966,14.99957301
3/1/2018,150.5284156,18.31447874,20.93738865
4/1/2018,159.6159566,21.30451104,18.33574957
5/1/2018,183.3987234,23.91403555,3.472013202
6/1/2018,179.5256799,24.3843627,2.818131548
7/1/2018,185.716535,26.16635939,5.980520001
8/1/2018,194.9596573,30.27408651,16.35211311
9/1/2018,218.1610458,34.77013321,32.67172016
10/1/2018,216.3655368,31.63061676,28.08284242
11/1/2018,202.2872451,30.10617343,54.08559486
12/1/2018,198.2869363,33.36646716,48.27446294
1/1/2019,180.3560606,37.01517795,57.14337893
2/1/2019,178.2383592,33.52945401,50.36578477
3/1/2019,166.5852426,35.18326412,55.36162616
4/1/2019,179.6487867,41.31000296,45.19439241
5/1/2019,172.4784589,41.07531819,57.8630361
6/1/2019,162.6928049,40.2425385,68.38440156
7/1/2019,166.6147448,44.86964386,68.22107428
8/1/2019,164.3567251,43.67652298,69.73838029
9/1/2019,166.484572,41.50988446,63.94987519
10/1/2019,161.9719011,39.32558921,61.05925636
11/1/2019,152.1682136,39.54978501,62.69087738
12/1/2019,137.6490587,39.60681795,62.56063554
1/1/2020,142.6020513,39.24778056,70.29929269
2/1/2020,133.6199106,38.47631715,72.97930464
3/1/2020,125.3029504,31.80997562,70.47427804
4/1/2020,124.2067073,32.32802196,69.09748064
5/1/2020,118.9808323,31.60410648,70.85521447
6/1/2020,117.9112722,37.3679016,77.05290402
7/1/2020,124.6301205,44.00938625,70.27325517
8/1/2020,,,
9/1/2020,,,
10/1/2020,,,
11/1/2020,,,
12/1/2020,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
