date,w?giel kamienny,w?giel brunatny,ropa,gaz,biomasa,el. Wodne,fotowoltaika,el. wiatrowe
1/1/2020,6660831,3195891,174380,1029902,208927,219610,,1877174
2/1/2020,5992469,2702567,151053,956100,158542,279764,,2140541
3/1/2020,6432419,2451991,153591,1031135,211529,266567,,1463428
4/1/2020,4818798,2592330,132424,1006790,169926,171009,154532,1205845
5/1/2020,4580982,3022421,130533,990498,211400,186916,223831,1072004
6/1/2020,4980080,3046223,110492,814024,153039,263119,218644,688610
7/1/2020,5600208,2864929,136731,1077781,45752,225686,263228,822450
8/1/2020,,,,,,,,
9/1/2020,,,,,,,,
10/1/2020,,,,,,,,
11/1/2020,,,,,,,,
12/1/2020,,,,,,,,
