data;wolumen 'TGeBase' (MWh);onshore;import handlowy;onshore+import handlowy
01.01.2016;2465361,3;1173207;-98851,202;1074355,798
01.02.2016;2133837,2;1385338;245622,31;1630960,31
01.03.2016;2576040,6;765420;460202,94;1225622,94
01.04.2016;2329091;862547;373094,133;1235641,133
01.05.2016;2356593,6;715987;445765,7;1161752,7
01.06.2016;2258954,2;592098;458835,759;1050933,759
01.07.2016;2069115,6;671970;215960,91;887930,91
01.08.2016;1935865,7;684962;329639,124;1014601,124
01.09.2016;2075640,9;605189;303363,769;908552,769
01.10.2016;2198482,6;1190045;-143169,459;1046875,541
01.11.2016;2458497,6;1330081;-429328,135;900752,865
01.12.2016;2613662,6;1604873;-167798,32;1437074,68
01.01.2017;2540758,1;1129081;-356894,816;772186,184
01.02.2017;2131333,9;1252068;-237743,492;1014324,508
01.03.2017;2155303,5;1196835;369602,905;1566437,905
01.04.2017;2043771,3;1308534;247328,38;1555862,38
01.05.2017;2118373,1;871072;358225,468;1229297,468
01.06.2017;1869060,9;1083991;279390,335;1363381,335
01.07.2017;1917402,5;730302;300803,477;1031105,477
01.08.2017;1885066,1;796365;364615,01;1160980,01
01.09.2017;1792295;1094186;285610,991;1379796,991
01.10.2017;2062444,4;1760247;356968,955;2117215,955
01.11.2017;2119634,9;1317896;227124,53;1545020,53
01.12.2017;2513074,1;1865449;302475,082;2167924,082
01.01.2018;2553343,6;1722181;610282,137;2332463,137
01.02.2018;2097477,3;593044;430888,875;1023932,875
01.03.2018;2541831,4;1093876;519059,953;1612935,953
01.04.2018;2259252,7;1272830;709284,143;1982114,143
01.05.2018;2100404,7;786023;828044,639;1614067,639
01.06.2018;2113025,2;736474;661119,222;1397593,222
01.07.2018;2031185,4;611111;138579,912;749690,912
01.08.2018;2055359,1;668795;290097,708;958892,708
01.09.2018;2121100,3;961370;440495,733;1401865,733
01.10.2018;2516929,4;1429012;464956,015;1893968,015
01.11.2018;2536013,7;996566;413826,293;1410392,293
01.12.2018;2647140;1453158;76631,656;1529789,656
01.01.2019;2975577,4;1537559;200295,62;1737854,62
01.02.2019;2631699,7;1538047;610497,283;2148544,283
01.03.2019;2950108,4;1798592;919932,37;2718524,37
01.04.2019;2884398,7;1199918;844104,432;2044022,432
01.05.2019;2761980,1;921608;880603,479;1802211,479
01.06.2019;2735237;720243;997617,2;1717860,2
01.07.2019;2785856,7;880572;977754,871;1858326,871
01.08.2019;2537679,1;570815;847280,678;1418095,678
01.09.2019;2690208,5;1161441;939918,751;2101359,751
01.10.2019;2896150,7;1147561;1149628,984;2297189,984
01.11.2019;2846310,8;1345084;1073179,784;2418263,784
01.12.2019;3068646,1;1738100;832726,624;2570826,624
01.01.2020;2664184,3;1877174;691696,973;2568870,973
01.02.2020;2747207,4;2140541;806824,833;2947365,833
01.03.2020;2850973,1;1461857;1153231,323;2615088,323
01.04.2020;2646056,4;1205845;1004408,173;2210253,173
01.05.2020;2765923,4;1072004;1244386,393;2316390,393
01.06.2020;2571797,6;688610;1439919,825;2128529,825
01.07.2020;2688475,1;822450;1330760,614;2153210,614
01.08.2020;2521484,9;644912;1272336,082;1917248,082
