date,?rednia'20,minimum'20,maksimum'20,?rednia'19
1/1/2020,20397.01075,12943,25251,21297.6828
2/1/2020,20329.98851,14439,24777,20625.87649
3/1/2020,19071.75,13276,24283,19753.58333
4/1/2020,16795.79444,10769,20936,18621.60972
5/1/2020,16788.07527,11160,21100,18319.55914
6/1/2020,17462.42222,11690,22345,18596.53333
7/1/2020,17858.63172,11904,22131,18357.08065
8/1/2020,18013.4543,11950,22750,18241.79704
9/1/2020,18661.5,12863,23435,18589.94028
10/1/2020,,,,19601.93414
11/1/2020,,,,19819.91389
12/1/2020,,,,19631.75
