date,BASE_n+1,PEAK5_n+1,TGeBase,,,
9/1/2018,284.86,397.58,275.73,,,
10/1/2018,275.35,382.15,251.81,,,
11/1/2018,285.96,373.73,252.96,,,
12/1/2018,279.57,360.66,225.85,,,
1/1/2019,274.48,361.92,237.70,,,
2/1/2019,262.15,354.05,213.74,,,
3/1/2019,256.84,335.06,198.56,,,
4/1/2019,266.29,336.36,227.79,,,
5/1/2019,271.27,338.37,242.71,,,
6/1/2019,271.03,338.18,255.80,,,
7/1/2019,279.51,343.15,241.46,,,
8/1/2019,277.77,338.87,269.10,,,
9/1/2019,271.85,319.83,242.02,,,
10/1/2019,262.32,304.75,229.12,,,
11/1/2019,254.55,300.32,216.15,,,
12/1/2019,239.71,281.65,186.84,,,
1/1/2020,252.10,296.47,187.64,,,
2/1/2020,244.97,286.15,172.17,,,
3/1/2020,227.79,267.58,165.07,,,
4/1/2020,225.35,268.35,150.15,,,
5/1/2020,221.33,266.53,171.81,,,
6/1/2020,232.13,275.93,216.65,,,
7/1/2020,238.94,282.42,222.30,,,
8/1/2020,229.56,270.01,232.61,,,
9/1/2020,233.43,273.58,243.79,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
