date,weighted price [PLN/MWh]
1/1/2016,221.08
2/1/2016,206.40
3/1/2016,205.09
4/1/2016,207.45
5/1/2016,208.84
6/1/2016,214.42
7/1/2016,214.90
8/1/2016,209.07
9/1/2016,207.64
10/1/2016,209.64
11/1/2016,211.19
12/1/2016,204.88
1/1/2017,212.49
2/1/2017,209.14
3/1/2017,207.54
4/1/2017,210.12
5/1/2017,207.92
6/1/2017,208.22
7/1/2017,208.38
8/1/2017,207.46
9/1/2017,211.13
10/1/2017,217.21
11/1/2017,220.19
12/1/2017,226.78
1/1/2018,228.63
2/1/2018,226.22
3/1/2018,240.54
4/1/2018,244.89
5/1/2018,271.19
6/1/2018,277.30
7/1/2018,296.01
8/1/2018,323.64
9/1/2018,397.68
10/1/2018,382.77
11/1/2018,374.32
12/1/2018,360.88
1/1/2019,361.92
2/1/2019,354.00
3/1/2019,335.04
4/1/2019,336.26
5/1/2019,338.43
6/1/2019,338.22
7/1/2019,343.18
8/1/2019,338.80
9/1/2019,319.67
10/1/2019,304.82
11/1/2019,300.35
12/1/2019,281.56
1/1/2020,296.49
2/1/2020,286.21
3/1/2020,267.23
4/1/2020,268.72
5/1/2020,266.53
6/1/2020,275.97
7/1/2020,282.42
8/1/2020,270.06
9/1/2020,
10/1/2020,
11/1/2020,
12/1/2020,
