date,Produkcja w?gla netto,Sprzeda? ogó?em
8/1/2018,5.418824,5.467576
9/1/2018,4.888107,4.987386
10/1/2018,5.854862,5.689604
11/1/2018,5.531762,5.152178
12/1/2018,4.733838,4.782765
1/1/2019,5.27134,5.33678
2/1/2019,4.801789,4.967669
3/1/2019,5.447067,5.024685
4/1/2019,5.326979,4.88993
5/1/2019,5.259478,4.326047
6/1/2019,4.68523,4.441701
7/1/2019,5.288384,4.703445
8/1/2019,5.020876,4.623426
9/1/2019,5.02456,5.149735
10/1/2019,5.435181,5.509615
11/1/2019,5.126562,4.985465
12/1/2019,4.935938,4.477565
1/1/2020,5.230615,4.063133
2/1/2020,4.956293,4.178972
3/1/2020,5.057644,4.503915
4/1/2020,4.237129,4.039376
5/1/2020,3.185115,3.45844
6/1/2020,3.828573,3.995412
7/1/2020,,
8/1/2020,,
