date,OZE-A,OZE-A_TP
7/1/2018,1492249.82,1673797.87
8/1/2018,1580737.01,1057444.34
9/1/2018,1366159.87,943899.98
10/1/2018,1612513.3,1300715.87
11/1/2018,1337570.49,960254.71
12/1/2018,884184.9,1404804.43
1/1/2019,741109.55,1625081.4
2/1/2019,911895.59,697297.7
3/1/2019,798565.63,998565.74
4/1/2019,1241739.23,1464451.15
5/1/2019,1205555.8,2077229.71
6/1/2019,887795.29,1074450.21
7/1/2019,951708.16,1327673.46
8/1/2019,812957.31,697365.37
9/1/2019,779294.53,909344.51
10/1/2019,993802.99,866676.56
11/1/2019,870615.61,695307.76
12/1/2019,1030587.73,1648929.95
1/1/2020,1017751.89,937382.68
2/1/2020,786431.99,1560332.28
3/1/2020,783461.41,1433739.56
4/1/2020,601901.97,1539290.72
5/1/2020,644673.56,2647897.92
6/1/2020,927520.84,1817842.53
7/1/2020,863797.87,936486.93
